"","lipid","R2","pval_time","pval_BMI","BMI_normal","BMI_obese","BMI_Overweight","BMI_Underweight","time1","time2","time3"
"1","Phosphatidic acid","0.12",0.113,0.328,23.684,18.153,17.17,7.779,17.348,19.739,20.493
"2","Phosphatidyl choline","0.76",9.002,0.054,5076.491,4497.691,4457.79,4116.662,4013.294,4798.85,5037.229
"3","Phosphatidyl ethanolamine","0.61",30.323,0.158,454.916,413.534,432.991,386.377,307.481,456.349,512.972
"4","Phosphatidyl glycerol","0.36",5.718,0.079,0.675,0.603,0.576,0.695,0.47,0.675,0.684
"5","Phosphatidyl inositol","0.3",2.164,0.214,51.867,44.227,52.722,79.145,37.288,48.894,57.987
"6","Phosphatidyl serine","0.27",0.531,0.293,94.644,84.834,95.531,43.696,80.249,93.603,92.535
"7","Cardiolipin","0.96",0.147,0.12,219.998,228.485,216.492,143.371,221.357,224.16,223.34
"8","Ceramide","0.67",3.881,0.342,16.612,16.607,14.588,13.643,14.671,16.14,17.71
"9","Ceramide-1-phosphate","0.96",0.147,0.129,218.006,226.76,214.545,141.53,219.842,222.296,221.199
"10","Hexosyl ceramide","0.71",16.856,0.801,2.953,2.392,2.293,3.331,1.881,2.673,2.971
"11","Lactosyl ceramide","0.23",0.677,0.383,4.09,3.493,3.487,3.323,3.3,3.687,3.903
"12","Sphingomyelin","0.74",3.464,0.178,1032.146,935.8,872.409,791.347,842.035,947.819,1045.304
"13","Sulfatide","0.96",0.143,0.121,218.728,227.237,215.196,142.643,220.289,222.873,221.919
"14","free sphingosyl bases","0.2",4.948,0.058,26.379,24.484,23.039,34.251,41.959,18.168,16.454
"15","sphingosyl base-1-phosphates","0.1",5.103,0.043,0.029,0.029,0.027,0.007,0.051,0.019,0.019
"16","Monoacylglycerol","0.96",0.144,0.129,217.819,226.585,214.397,141.254,219.76,222.088,220.975
"17","Diacylglycerol","0.96",0.185,0.125,222.615,231.922,219.11,145.779,223.729,227.183,227.163
"18","Triacylglycerol","0.68",15.906,0.068,1622.663,1722.763,1591.342,1734.179,1274.721,1714.357,2021.762
